Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Nik Lentz,Movsar Evloev,390,-560,390,17.85714286,1/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Catch Weight,MALE,3,3,Orthodox,170.18,182.88,145,14,Orthodox,172.72,172.72,145,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Albazi,Zhalgas Zhumagulov,-106,-118,94.33962264,84.74576271,1/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,0,Switch,162.56,167.64,125,1,Orthodox,165.1,172.72,125,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Chiesa,Neil Magny,120,-148,120,67.56756757,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,5,17,Orthodox,190.5,203.2,170,10,Southpaw,185.42,190.5,170,33,33,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warlley Alves,Mounir Lazzez,185,-230,185,43.47826087,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,1,Orthodox,185.42,193.04,170,7,Orthodox,180.34,182.88,170,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Villanueva,Vinicius Moreira,-134,110,74.62686567,110,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,1,Orthodox,193.04,193.04,205,0,Orthodox,185.42,185.42,225,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxanne Modafferi,Viviane Araujo,260,-335,260,29.85074627,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,3,Orthodox,162.56,172.72,125,4,Orthodox,170.18,175.26,125,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Schnell,Tyson Nam,105,-130,105,76.92307692,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,2,Orthodox,170.18,172.72,125,4,Orthodox,172.72,177.8,125,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lerone Murphy,Douglas Silva de Andrade,-305,240,32.78688525,240,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,4,Orthodox,170.18,172.72,145,1,Orthodox,175.26,185.42,145,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omari Akhmedov,Tom Breese,128,-159,128,62.89308176,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,5,Southpaw,190.5,185.42,185,8,Orthodox,182.88,185.42,185,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Simon,Gaetano Pirrello,-400,300,25,300,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,Orthodox,170.18,170.18,135,5,Orthodox,167.64,175.26,135,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
