Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Robert Whittaker,Darren Till,-130,107,76.92307692,107,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,5,6,Southpaw,182.88,187.96,185,11,Orthodox,182.88,185.42,185,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauricio Rua,Rogerio Nogueira,-190,150,52.63157895,150,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,19,Southpaw,187.96,190.5,205,26,Orthodox,185.42,193.04,205,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabricio Werdum,Alexander Gustafsson,260,-335,260,29.85074627,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,10,Orthodox,195.58,200.66,205,22,Orthodox,193.04,195.58,231,42,33,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carla Esparza,Marina Rodriguez,145,-182,145,54.94505495,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Strawweight,FEMALE,3,2,Orthodox,167.64,165.1,115,7,Orthodox,154.94,160.02,115,32,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Craig,Gadzhimurad Antigulov,-137,110,72.99270073,110,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,2,Orthodox,180.34,177.8,205,4,Orthodox,190.5,193.04,205,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oliveira,Peter Sobotta,-182,145,54.94505495,145,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,4,Southpaw,182.88,190.5,170,10,Orthodox,180.34,193.04,170,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khamzat Chimaev,Rhys McKee,-1250,700,8,700,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,0,Orthodox,185.42,185.42,170,1,Orthodox,187.96,190.5,185,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Trinaldo,Jai Herbert,-134,108,74.62686567,108,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Lightweight,MALE,3,0,Orthodox,185.42,185.42,155,15,Southpaw,175.26,177.8,155,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Dalby,Jesse Ronson,-265,205,37.73584906,205,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,0,Southpaw,177.8,182.88,155,2,Orthodox,180.34,187.96,170,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Aspinall,Jake Collier,-278,220,35.97122302,220,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,3,Orthodox,190.5,198.12,205,0,Orthodox,195.58,195.58,256,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movsar Evloev,Mike Grundy,-200,161,50,161,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,1,Orthodox,170.18,182.88,145,2,Orthodox,170.18,182.88,145,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Boser,Raphael Pessoa,-278,220,35.97122302,220,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,1,Orthodox,190.5,198.12,262,2,Orthodox,187.96,190.5,255,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethe Correia,Pannie Kianzad,131,-162,131,61.72839506,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Bantamweight,FEMALE,3,1,Orthodox,170.18,167.64,135,5,Orthodox,165.1,162.56,135,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramazan Emeev,Niklas Stolze,-400,300,25,300,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,0,Switch,182.88,182.88,170,3,Southpaw,177.8,193.04,170,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Wood,John Castaneda,-455,320,21.97802198,320,7/25/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,Switch,170.18,177.8,135,3,Orthodox,167.64,175.26,135,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deiveson Figueiredo,Joseph Benavidez,-225,180,44.44444444,180,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,5,21,Southpaw,162.56,165.1,125,7,Orthodox,165.1,172.72,125,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Hermansson,Kelvin Gastelum,-112,-112,89.28571429,89.28571429,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,10,Southpaw,175.26,180.34,185,7,Orthodox,185.42,195.58,185,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Diakiese,Rafael Fiziev,-167,135,59.88023952,135,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,1,Switch,172.72,180.34,155,5,Orthodox,177.8,185.42,155,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariane Lipski,Luana Carolina,-125,100,80,100,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Flyweight,FEMALE,3,1,Orthodox,167.64,175.26,125,1,Orthodox,167.64,170.18,125,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Pantoja,Askar Askarov,-210,165,47.61904762,165,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Flyweight,MALE,3,1,Orthodox,167.64,170.18,125,6,Orthodox,165.1,170.18,125,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Dolidze,Khadis Ibragimov,-167,135,59.88023952,135,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,0,Orthodox,190.5,198.12,205,0,Orthodox,187.96,193.04,205,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Dawson,Nad Narimani,-250,195,40,195,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Catch Weight,MALE,3,2,Orthodox,172.72,177.8,145,3,Switch,177.8,182.88,145,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Duffy,Joel Alvarez,-335,250,29.85074627,250,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,1,Orthodox,190.5,195.58,155,4,Orthodox,177.8,185.42,155,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Johns,Montel Jackson,170,-215,170,46.51162791,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,3,Southpaw,177.8,190.5,135,4,Orthodox,170.18,180.34,135,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Gordon,Amir Albazi,135,-167,135,59.88023952,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Flyweight,MALE,3,0,Orthodox,165.1,172.72,125,0,Switch,170.18,180.34,125,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davi Ramos,Arman Tsarukyan,160,-200,160,50,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,1,Orthodox,170.18,182.88,155,4,Orthodox,167.64,177.8,155,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Felipe,Serghei Spivac,140,-177,140,56.49717514,7/18/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Heavyweight,MALE,3,1,Orthodox,190.5,198.12,260,0,Orthodox,182.88,190.5,245,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Kattar,Dan Ige,-286,220,29.85074627,245,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,5,6,Orthodox,170.18,180.34,145,5,Orthodox,180.34,182.88,145,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Elliott,Ryan Benoit,-141,112,80,100,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,3,Orthodox,165.1,172.72,125,4,Southpaw,170.18,167.64,125,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmie Rivera,Cody Stamann,-141,112,70.92198582,112,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,5,Orthodox,167.64,162.56,145,6,Orthodox,162.56,172.72,145,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molly McCann,Taila Santos,-152,120,80,100,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,0,Orthodox,165.1,172.72,125,3,Orthodox,162.56,157.48,125,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Razak Alhassan,Mounir Lazzez,-345,260,28.98550725,260,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,0,Orthodox,185.42,185.42,170,4,Orthodox,177.8,185.42,170,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Phillips,Khamzat Chimaev,271,-375,260,28.98550725,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Middleweight,MALE,3,0,Orthodox,187.96,187.96,185,1,Southpaw,180.34,190.5,185,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Ramos,Lerone Murphy,-162,130,61.72839506,130,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Featherweight,MALE,3,0,Orthodox,175.26,185.42,145,5,Orthodox,175.26,182.88,145,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modestas Bukauskas,Andreas Michailidis,-177,140,47.61904762,165,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,0,Orthodox,182.88,182.88,185,0,Switch,190.5,190.5,205,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Gordon,Chris Fishgold,-143,115,66.66666667,120,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,1,Orthodox,172.72,172.72,145,3,Orthodox,175.26,172.72,145,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana Belbita,Liana Jojua,-195,155,59.88023952,135,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,0,Orthodox,162.56,157.48,125,0,Orthodox,170.18,172.72,125,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Shore,Aaron Phillips,-715,475,13.98601399,475,7/15/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,Southpaw,175.26,177.8,135,1,Orthodox,172.72,180.34,135,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamaru Usman,Jorge Masvidal,-240,190,41.66666667,190,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,5,17,Orthodox,180.34,187.96,170,11,Switch,182.88,193.04,170,33,36,0,0,0,3,0,0,94,66,0.62,0.52,263,88,341,157,5,0,0.31,0,0,2,0
Alexander Volkanovski,Max Holloway,-210,170,47.61904762,170,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,17,Orthodox,180.34,175.26,145,8,Orthodox,167.64,180.34,145,31,28,0,0,0,0,0,0,137,102,0.5,0.38,139,111,275,277,3,0,0.33,0,0,0,0
Petr Yan,Jose Aldo,-215,175,46.51162791,175,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,18,Orthodox,170.18,177.8,135,6,Switch,170.18,170.18,135,27,33,0,0,0,0,1,0,194,83,0.62,0.52,258,83,376,157,1,0,0.5,0,0,1,0
Jessica Andrade,Rose Namajunas,175,-215,175,46.51162791,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Strawweight,FEMALE,3,6,Orthodox,165.1,165.1,115,11,Orthodox,154.94,157.48,115,28,28,2,0,0,0,0,0,71,82,0.34,0.34,79,82,213,235,1,0,0.33,0,0,1,0
Amanda Ribas,Paige VanZant,-770,500,12.98701299,500,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Flyweight,FEMALE,3,5,Orthodox,162.56,165.1,115,3,Orthodox,160.02,167.64,115,26,26,0,0,0,0,0,0,6,3,0.85,0.6,13,4,15,6,1,0,1,0,1,1,0
Volkan Oezdemir,Jiri Prochazka,-159,129,62.89308176,129,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Light Heavyweight,MALE,3,0,Orthodox,193.04,193.04,205,5,Orthodox,187.96,190.5,205,30,27,0,0,0,0,0,1,41,33,0.44,0.45,44,33,95,73,0,0,0,0,0,0,0
Elizeu Zaleski dos Santos,Muslim Salikhov,108,-134,108,74.62686567,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,3,Orthodox,180.34,177.8,170,8,Orthodox,180.34,185.42,170,33,36,0,0,0,0,0,0,46,40,0.33,0.45,46,40,138,88,0,0,0,0,0,1,0
Makwan Amirkhani,Danny Henry,-215,170,46.51162791,170,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,2,Orthodox,182.88,185.42,145,5,Southpaw,177.8,182.88,145,31,31,0,0,0,0,0,0,2,6,0.33,0.37,2,6,6,16,1,0,1,0,1,0,0
Leonardo Santos,Roman Bogatov,-177,145,56.49717514,145,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Lightweight,MALE,3,0,Orthodox,172.72,172.72,155,6,Orthodox,182.88,190.5,155,40,29,0,0,0,0,0,0,66,50,0.55,0.42,116,81,181,155,1,1,0.5,0.9,0,1,1
Marcin Tybura,Maxim Grishin,-112,-112,89.28571429,89.28571429,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,0,Orthodox,190.5,198.12,265,5,Orthodox,190.5,198.12,249,34,36,0,0,0,0,0,0,24,18,0.46,0.56,70,54,119,71,3,0,0.42,0,0,4,0
Raulian Paiva,Zhalgas Zhamagulov,-180,142,55.55555556,142,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,0,Switch,162.56,162.56,125,1,Orthodox,172.72,175.26,125,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karol Rosa,Vanessa Melo,-250,195,40,195,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Bantamweight,FEMALE,3,0,Orthodox,165.1,165.1,135,1,Orthodox,165.1,170.18,135,25,32,0,0,0,0,0,0,120,45,0.52,0.33,177,78,289,168,2,0,0.5,0,0,1,0
Martin Day,Davey Grant,-162,130,61.72839506,130,7/11/20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Bantamweight,MALE,3,2,Orthodox,172.72,175.26,135,0,Orthodox,177.8,185.42,135,31,34,0,0,0,0,1,1,62,74,0.38,0.41,69,87,168,191,0,2,0,0.5,0,0,1
Dustin Poirier,Dan Hooker,-225,180,44.44444444,180,6/27/20,"Las Vegas, Nevada, USA",USA,Red,Lightweight,MALE,5,10,Switch,182.88,190.5,155,18,Southpaw,175.26,182.88,155,31,30,0,0,0,0,0,0,153,155,0.66,0.61,208,182,289,283,1,4,0.14,0.44,4,1,0
Mike Perry,Mickey Gall,-315,235,31.74603175,235,6/27/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,5,Switch,187.96,187.96,170,6,Orthodox,177.8,180.34,170,28,28,0,0,0,0,1,0,76,55,0.58,0.51,103,59,158,111,1,0,1,0,0,6,0
Brendan Allen,Kyle Daukaus,-305,235,32.78688525,235,6/27/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,0,Southpaw,190.5,193.04,185,2,Orthodox,187.96,190.5,185,24,27,0,0,0,0,1,0,41,34,0.62,0.58,79,92,109,127,0,3,0,0.6,0,4,4
Gian Villante,Maurice Greene,180,-230,180,43.47826087,6/27/20,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,3,Orthodox,200.66,203.2,258,10,Orthodox,190.5,193.04,205,34,33,0,0,0,0,1,0,72,63,0.68,0.45,91,64,126,139,0,0,0,0,0,1,0
Luis Pena,Khama Worthy,-250,195,40,195,6/27/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,1,Orthodox,180.34,187.96,155,4,Southpaw,190.5,190.5,155,26,33,0,0,0,0,0,0,38,55,0.49,0.54,40,66,79,114,3,0,0.42,0,3,6,0
Mara Romero Borella,Miranda Maverick,230,-305,230,32.78688525,6/27/20,"Las Vegas, Nevada, USA",USA,Red,Women's Flyweight,FEMALE,3,0,Southpaw,160.02,165.1,125,2,Orthodox,167.64,175.26,125,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipe Lins,Tanner Boser,-112,-112,89.28571429,89.28571429,6/27/20,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,1,Orthodox,187.96,190.5,255,0,Orthodox,187.96,198.12,240,34,28,0,0,0,0,0,1,6,15,0.35,0.68,6,15,17,22,0,0,0,0,0,0,1
Sean Woodson,Julian Erosa,-455,325,21.97802198,325,6/27/20,"Las Vegas, Nevada, USA",USA,Blue,Catch Weight,MALE,3,1,Southpaw,185.42,187.96,145,1,Orthodox,187.96,198.12,145,28,30,0,0,0,0,1,0,106,103,0.48,0.5,116,107,230,210,0,3,0,0.5,0,0,0
Takashi Sato,Jason Witt,-278,215,35.97122302,215,6/27/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,0,Orthodox,177.8,177.8,170,1,Southpaw,177.8,185.42,170,30,33,0,0,0,0,1,0,18,2,0.85,0.4,18,2,21,5,0,0,0,0,0,0,0
Kay Hansen,Jinh Yu Frey,-175,138,57.14285714,138,6/27/20,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,0,Orthodox,157.48,157.48,115,0,Orthodox,160.02,160.02,115,20,35,0,0,0,0,0,0,31,26,0.56,0.56,43,27,67,48,2,0,0.18,0,1,2,0
Jordan Griffin,Youssef Zalal,-106,-114,94.33962264,87.71929825,6/27/20,"Las Vegas, Nevada, USA",USA,Blue,Featherweight,MALE,3,1,Switch,177.8,182.88,145,1,Southpaw,177.8,185.42,145,30,23,0,0,0,0,0,0,28,59,0.4,0.52,33,70,74,123,2,0,0.25,0,0,2,0
Curtis Blaydes,Alexander Volkov,-400,325,25,325,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Heavyweight,MALE,5,5,Orthodox,200.66,203.2,250,8,Orthodox,193.04,203.2,265,29,31,0,0,3,0,0,0,69,31,0.69,0.4,116,127,163,177,14,1,0.56,0.5,0,3,0
Josh Emmett,Shane Burgos,120,-140,120,71.42857143,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,6,Orthodox,180.34,190.5,145,6,Orthodox,167.64,177.8,145,35,29,0,0,0,0,2,0,127,128,0.47,0.51,136,148,275,270,1,0,1,0,0,0,0
Raquel Pennington,Marion Reneau,-160,140,62.5,140,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Women's Bantamweight,FEMALE,3,5,Orthodox,167.64,172.72,135,7,Orthodox,170.18,170.18,135,31,43,0,10,0,0,0,0,107,46,0.69,0.39,118,81,165,154,1,2,0.5,0.5,0,0,0
Belal Muhammad,Lyman Good,-130,110,76.92307692,110,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,3,Orthodox,182.88,187.96,170,7,Orthodox,180.34,182.88,170,31,35,0,0,0,0,0,0,82,81,0.47,0.47,86,84,176,175,2,0,0.25,0,0,1,0
Jim Miller,Roosevelt Roberts,200,-240,200,41.66666667,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Catch Weight,MALE,3,4,Orthodox,187.96,185.42,155,20,Southpaw,172.72,180.34,155,36,26,0,0,0,0,0,0,2,1,0.66,0.5,9,7,10,8,0,0,0,0,1,1,0
Clay Guida,Bobby Green,195,-235,195,42.55319149,6/20/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,9,Orthodox,177.8,180.34,155,17,Orthodox,170.18,177.8,155,38,33,0,0,0,0,0,0,23,85,0.35,0.56,27,90,69,158,3,2,0.25,0.66,0,0,0
Tecia Torres,Brianna Van Buren,175,-210,175,47.61904762,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,1,Southpaw,152.4,157.48,115,6,Orthodox,154.94,152.4,115,30,26,0,0,0,0,0,0,74,34,0.46,0.5,111,37,199,71,0,2,0,0.28,0,0,1
Marc-Andre Barriault,Oskar Piechota,100,-120,100,83.33333333,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,2,Southpaw,182.88,193.04,185,0,Orthodox,185.42,187.96,185,30,30,0,0,0,0,1,0,74,37,0.54,0.44,74,38,137,85,1,0,1,0,0,0,0
Cortney Casey,Gillian Robertson,100,-120,100,83.33333333,6/20/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,3,4,Orthodox,165.1,160.02,125,5,Orthodox,170.18,170.18,125,33,25,0,0,0,0,0,0,22,21,0.4,0.42,113,41,153,72,0,3,0,0.75,0,0,5
Frank Camacho,Justin Jaynes,-340,280,29.41176471,280,6/20/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,0,Orthodox,170.18,170.18,155,2,Orthodox,177.8,185.42,170,31,30,0,0,0,0,0,1,4,16,0.26,0.53,4,16,15,30,0,0,0,0,0,0,0
Roxanne Modafferi,Lauren Murphy,-125,105,80,105,6/20/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,3,4,Orthodox,165.1,170.18,125,3,Orthodox,170.18,175.26,125,37,36,0,0,0,0,0,0,44,72,0.25,0.45,71,92,206,178,0,2,0,0.66,0,0,1
Austin Hubbard,Max Rohskopf,160,-185,160,54.05405405,6/20/20,"Las Vegas, Nevada, USA",USA,Red,Lightweight,MALE,3,0,Orthodox,185.42,187.96,155,1,Orthodox,177.8,180.34,155,28,25,0,0,0,0,0,0,58,17,0.57,0.31,59,17,102,55,0,2,0,0.33,0,0,2
Jessica Eye,Cynthia Calvillo,120,-130,120,76.92307692,6/13/20,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,5,5,Orthodox,162.56,162.56,115,5,Orthodox,167.64,167.64,125,33,32,10,0,0,0,0,0,70,113,0.25,0.47,70,150,283,294,0,4,0,0.57,0,0,8
Karl Roberson,Marvin Vettori,210,-230,210,43.47826087,6/13/20,"Las Vegas, Nevada, USA",USA,Blue,Middleweight,MALE,3,4,Southpaw,182.88,187.96,185,4,Southpaw,185.42,187.96,185,29,26,0,0,0,0,0,0,4,45,0.25,0.7,4,60,16,79,0,2,0,0.66,0,1,2
Charles Rosa,Kevin Aguilar,170,-185,170,54.05405405,6/13/20,"Las Vegas, Nevada, USA",USA,Red,Lightweight,MALE,3,2,Orthodox,170.18,185.42,155,3,Switch,175.26,175.26,145,33,31,0,0,0,0,0,0,69,53,0.39,0.39,69,53,173,135,0,0,0,0,0,0,0
Andre Fili,Charles Jourdain,-220,200,45.45454545,200,6/13/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,Switch,175.26,175.26,145,8,Orthodox,180.34,187.96,145,29,24,0,0,0,0,0,1,44,62,0.25,0.44,52,65,183,142,5,0,0.83,0,0,5,0
Jordan Espinosa,Mark De La Rosa,-167,157,59.88023952,157,6/13/20,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,2,Orthodox,167.64,165.1,135,1,Orthodox,167.64,175.26,125,30,25,0,0,0,0,0,0,126,37,0.68,0.31,188,43,254,127,2,0,0.66,0,0,2,0
Mariya Agapova,Hannah Cifers,-335,305,29.85074627,305,6/13/20,"Las Vegas, Nevada, USA",USA,Red,Women's Flyweight,FEMALE,3,2,Orthodox,154.94,157.48,115,0,Southpaw,167.64,172.72,125,23,27,0,0,0,0,1,0,29,11,0.55,0.34,36,14,59,36,0,0,0,0,1,1,0
