R_fighter,B_fighter,gender,R_age,B_age,R_Height_cms,B_Height_cms,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,sig_str_landed_bout_diff,ev_diff,odds_diff,tot_str_landed_bout_diff,sig_str_pct_bout_diff
Trevin Giles,Bevon Lewis,MALE,28,29,182.88,190.5,185,185,187.96,200.66,0,-20,-225,0,0
Giga Chikadze,Jamey Simmons,MALE,32,28,182.88,165.1,145,145,187.96,165.1,0,513.0239521000001,1360,0,0
Alexandr Romanov,Marcos Rogerio de Lima,MALE,29,35,187.96,185.42,262,253,190.5,190.5,0,308.02197802,785,0,0
Darren Elkins,Eduardo Garagorri,MALE,36,31,177.8,175.26,145,145,180.34,177.8,0,143.33333333000004,425,0,0
Max Griffin,Ramiz Brahimaj,MALE,34,27,180.34,177.8,170,170,193.04,185.42,0,45.06993007,258,0,0
Gustavo Lopez,Anthony Birchak,MALE,31,34,165.1,172.72,135,135,170.18,175.26,0,33.37313433,242,0,0
Uriah Hall,Anderson Silva,MALE,36,45,182.88,187.96,185,185,200.66,195.58,0,141.52173913,415,0,0
Bryce Mitchell,Andre Fili,MALE,26,30,177.8,180.34,145,145,177.8,187.96,0,53.33333333,270,0,0
Maurice Greene,Greg Hardy,MALE,34,32,200.66,195.58,258,265,203.2,203.2,0,-220.14925373,-585,0,0
Kevin Holland,Charlie Ontiveros,MALE,27,29,190.5,187.96,170,185,205.74,198.12,0,461.01398601,1270,0,0
Bobby Green,Thiago Moises,MALE,34,25,177.8,175.26,155,155,180.34,177.8,0,215.14925373,580,0,0
Chris Gruetzemacher,Alexander Hernandez,MALE,34,28,172.72,175.26,155,155,172.72,182.88,0,-292.01149425,-750,0,0
Adrian Yanez,Victor Rodriguez,MALE,26,28,170.18,165.1,135,135,177.8,165.1,0,336,856,0,0
Sean Strickland,Jack Marshman,MALE,29,30,185.42,182.88,170,185,193.04,185.42,0,250.33333333,652,0,0
Cole Williams,Jason Witt,MALE,36,33,182.88,177.8,170,170,185.42,177.8,0,-51.43243243000001,-267,0,0
Dustin Jacoby,Justin Ledet,MALE,32,32,190.5,193.04,205,205,193.04,203.2,0,271,696,0,0
Miles Johns,Kevin Natividad,MALE,26,27,170.18,167.64,135,145,167.64,177.8,0,70.39393939,296,0,0
Khabib Nurmagomedov,Justin Gaethje,MALE,32,31,177.8,180.34,155,155,177.8,177.8,0,223.25396825,570,0,0
Robert Whittaker,Jared Cannonier,MALE,29,36,182.88,180.34,185,185,185.42,195.58,0,0,0,0,0
Alexander Volkov,Walt Harris,MALE,32,37,200.66,195.58,250,250,203.2,195.58,0,97.36842105,340,0,0
Jacob Malkoun,Phillip Hawes,MALE,25,31,175.26,182.88,185,185,185.42,195.58,0,-155,-445,0,0
Lauren Murphy,Liliya Shakirova,FEMALE,37,29,165.1,162.56,125,125,170.18,165.1,0,123.48837209,385,0,0
Magomed Ankalaev,Ion Cutelaba,MALE,28,26,190.5,185.42,205,205,190.5,190.5,0,220.14925373,585,0,0
Stefan Struve,Tai Tuivasa,MALE,32,27,210.82,187.96,265,264,213.36,190.5,0,0,0,0,0
Nathaniel Wood,Casey Kenney,MALE,27,29,167.64,170.18,140,140,175.26,172.72,0,-83.50282486,-317,0,0
Alex Oliveira,Shavkat Rakhmonov,MALE,32,26,180.34,185.42,170,170,193.04,195.58,0,0,0,0,0
