index,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout,level_0
1083,Laureano Staropoli,Hector Aldana,100,-120,100.0,83.33333333,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,False,Welterweight,MALE,3,1,0,0,39.0,0.43,0.0,2.0,1.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,180.34,170,25,30,-1,0,0,0,-1,2,0,0,0,-5.08,2.54,-5,39.0,0.0,2.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,97.0,69.0,275.0,170.0,0.35,0.4,99.0,72.0,277.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083
1084,Devin Powell,Jesus Pinedo,200,-240,200.0,41.66666667,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Blue,False,Lightweight,MALE,3,0,0,0,0.0,0.38,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,188.0,155,0,1,0,25.66666667,0.423333333,0.666666667,0.0,0.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,155,30,22,0,-1,-1,-1,2,-7,0,-1,0,-5.08,2.58,8,-25.66666667,-0.666666667,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,58.0,60.0,139.0,142.0,0.41,0.42,68.0,68.0,157.0,153.0,0.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1084
1085,Nad Narimani,Anderson Dos Santos,-420,335,23.80952381,335.0,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,False,Featherweight,MALE,3,0,0,0,0.0,0.26,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,177.8,135,0,1,0,45.0,0.65,0.0,6.0,0.54,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,177.8,145,31,33,0,-1,-1,-1,0,-3,0,0,0,-7.62,0.0,-2,-45.0,0.0,-6.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,84.0,46.0,186.0,170.0,0.45,0.27,111.0,50.0,220.0,174.0,1.0,0.0,5.0,1.0,0.2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1085
1086,Chan Sung Jung,Yair Rodriguez,110,-130,110.0,76.92307692,11/10/2018,"Denver, Colorado, USA", USA,Blue,False,Featherweight,MALE,5,1,0,0,51.14285714,0.45,1.142857143,1.142857143,0.435714286,6,1,20,1,0,2,2,2,0,0,6,Orthodox,180.34,180.34,145,0,1,0,28.8,0.4,0.8,1.0,0.3,3,1,12,1,0,0,0,2,2,0,4,Orthodox,170.18,182.88,145,31,26,-1,-1,3,2,0,8,0,0,-2,10.16,-2.54,5,22.34285714,0.342857143,0.14285714300000002,0,1,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Red,KO/TKO,Elbow,5.0,4:59,1499.0,0.0,1.0,126.0,119.0,308.0,271.0,0.4,0.43,130.0,129.0,312.0,281.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086
1087,Donald Cerrone,Mike Perry,170,-200,170.0,50.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,44.125,0.4825,0.0,0.5,0.23875,2,3,19,0,0,1,0,4,0,0,5,Orthodox,177.8,180.34,170,1,0,0,43.67857143,0.493571429,0.35714285700000004,0.7142857140000001,0.291428571,8,8,60,1,0,0,6,9,5,0,20,Orthodox,185.42,185.42,155,35,27,1,1,-6,-15,5,-41,-1,-5,-5,-7.62,-5.08,8,0.44642857,-0.35714285700000004,-0.214285714,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,SUB,Armbar,1.0,4:46,286.0,0.0,0.0,9.0,11.0,13.0,20.0,0.69,0.55,10.0,11.0,14.0,20.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1087
1088,Raquel Pennington,Germaine de Randamie,180,-220,180.0,45.45454545,11/10/2018,"Denver, Colorado, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3,0,3,0,35.6,0.45,0.0,0.0,0.0,3,1,12,1,0,1,1,2,0,0,4,Orthodox,175.26,180.34,135,1,0,0,51.44444444,0.513333333,1.0,1.222222222,0.542222222,4,3,26,1,0,1,3,0,2,0,6,Orthodox,170.18,170.18,135,30,34,1,3,-1,-2,2,-14,0,2,-2,5.08,10.16,-4,-15.84444444,-1.0,-1.222222222,0,1,5,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,U-DEC,0,3.0,5:00,900.0,0.0,0.0,24.0,42.0,84.0,107.0,0.28,0.39,52.0,91.0,130.0,159.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088
1089,Beneil Dariush,Thiago Moises,-160,140,62.5,140.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,3,0,0,36.46153846,0.46846153799999996,0.384615385,0.692307692,0.223846154,5,5,27,0,0,1,3,1,3,0,8,Southpaw,177.8,182.88,155,29,23,3,0,-5,-8,5,-27,0,-1,-3,-2.54,-5.08,6,-36.46153846,-0.384615385,-0.692307692,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,44.0,8.0,68.0,16.0,0.64,0.5,113.0,20.0,161.0,30.0,4.0,0.0,8.0,2.0,0.5,0.0,2.0,4.0,5.0,0.0,0.0,0.0,1089
1090,Maycee Barber,Hannah Cifers,-470,375,21.27659574,375.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,160.02,115,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,165.1,165.1,125,20,26,0,0,0,0,0,0,0,0,0,-10.16,-5.08,-6,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,2.0,2:01,421.0,0.0,0.0,68.0,41.0,97.0,69.0,0.7,0.59,78.0,60.0,107.0,88.0,1.0,0.0,5.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1090
1091,Michael Trizano,Luis Pena,145,-165,145.0,60.60606061,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,8.0,0.34,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,Southpaw,190.5,190.5,155,0,1,0,42.0,0.59,1.0,0.0,0.0,1,0,3,1,0,1,0,0,0,0,1,Orthodox,180.34,180.34,155,26,25,0,0,0,0,0,-2,-1,0,1,10.16,10.16,1,-34.0,0.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,51.0,23.0,100.0,85.0,0.51,0.27,55.0,34.0,104.0,97.0,1.0,1.0,2.0,9.0,0.5,0.11,1.0,0.0,0.0,1.0,1.0,1.0,1091
1092,Ashley Yoder,Amanda Cooper,-140,120,71.42857143,120.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,24.6,0.36,0.8,0.6,0.198,1,3,8,1,0,0,1,1,0,0,2,Switch,160.02,162.56,115,3,0,0,40.66666667,0.323333333,0.0,1.333333333,0.333333333,0,3,9,0,0,0,0,0,0,0,0,Southpaw,170.18,175.26,115,31,27,2,0,1,2,0,-1,1,1,0,-10.16,-12.7,4,-16.06666667,0.8,-0.7333333329999999,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,38.0,51.0,90.0,105.0,0.42,0.48,59.0,67.0,113.0,121.0,1.0,2.0,2.0,6.0,0.5,0.33,3.0,2.0,2.0,3.0,1.0,0.0,1092
1093,Chas Skelly,Bobby Moffett,100,-120,100.0,83.33333333,11/10/2018,"Denver, Colorado, USA", USA,Blue,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,145,1,0,0,17.88888889,0.44222222200000005,1.5555555559999998,1.111111111,0.33888888899999997,4,3,20,0,0,0,1,1,4,0,6,Orthodox,180.34,182.88,145,33,28,1,0,-4,-6,3,-20,0,-1,-4,-2.54,5.08,5,-17.88888889,-1.5555555559999998,-1.111111111,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,Overturned,D'Arce Choke,2.0,2:43,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093
1094,Davi Ramos,John Gunther,-1000,650,10.0,650.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,27.0,0.38,0.0,8.0,0.42,1,0,3,0,1,0,0,0,0,0,1,Orthodox,175.26,182.88,155,0,2,0,32.0,0.40666666700000004,0.666666667,2.0,0.5166666670000001,2,1,7,0,0,0,0,0,2,0,2,Orthodox,167.64,177.8,155,32,32,0,-1,-1,-1,1,-4,0,0,-2,7.62,5.08,0,-5.0,-0.666666667,6.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,Rear Naked Choke,1.0,1:57,117.0,0.0,0.0,4.0,1.0,5.0,3.0,0.8,0.33,4.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1094
1095,Devonte Smith,Julian Erosa,-230,210,43.47826087,210.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,38.5,0.46,1.0,1.5,0.83,1,1,5,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,145,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,155,25,29,-1,0,1,1,-1,5,0,0,0,10.16,-5.08,-4,38.5,1.0,1.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,1.0,0:46,46.0,1.0,0.0,13.0,4.0,19.0,7.0,0.68,0.57,13.0,4.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095
1096,Joseph Morales,Eric Shelton,125,-145,125.0,68.96551724,11/10/2018,"Denver, Colorado, USA", USA,Blue,False,Flyweight,MALE,3,1,0,0,47.5,0.45,0.25,2.5,0.385,1,3,12,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,125,1,0,0,10.5,0.41,0.5,0.0,0.0,1,1,3,0,0,0,0,0,1,0,1,Switch,167.64,175.26,125,24,27,0,0,0,0,-2,9,0,0,-1,0.0,-2.54,-3,37.0,-0.25,2.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,24.0,16.0,67.0,57.0,0.35,0.28,28.0,45.0,71.0,90.0,1.0,7.0,1.0,10.0,1.0,0.7,4.0,0.0,0.0,1.0,0.0,1.0,1096
1097,Mark De La Rosa,Joby Sanchez,-230,190,43.47826087,190.0,11/10/2018,"Denver, Colorado, USA", USA,Red,False,Bantamweight,MALE,3,2,0,0,33.5,0.2625,0.25,0.5,0.25,1,3,9,0,0,1,0,0,0,0,1,Orthodox,167.64,172.72,135,0,1,0,13.5,0.53,0.5,1.0,0.33,1,1,4,0,0,0,0,0,1,0,1,Orthodox,167.64,165.1,135,24,27,-2,-1,0,0,-2,5,0,0,-1,0.0,7.62,-3,20.0,-0.25,-0.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,66.0,55.0,167.0,124.0,0.39,0.44,68.0,85.0,169.0,155.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097
1098,Daniel Cormier,Derrick Lewis,-380,315,26.31578947,315.0,11/3/2018,"New York City, New York, USA", USA,Red,True,Heavyweight,MALE,5,0,3,0,27.66666667,0.552,0.0,0.333333333,0.222,6,3,34,0,0,1,1,10,0,0,12,Orthodox,190.5,200.66,260,0,2,0,50.5,0.549166667,0.583333333,1.4166666669999999,0.370833333,4,2,34,7,0,1,3,3,3,0,10,Orthodox,180.34,182.88,235,39,33,0,1,2,2,-1,0,-7,7,-3,10.16,17.78,6,-22.83333333,-0.583333333,-1.083333334,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,SUB,Rear Naked Choke,2.0,2:14,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098
1099,Chris Weidman,Jacare Souza,-160,140,62.5,140.0,11/3/2018,"New York City, New York, USA", USA,Blue,False,Middleweight,MALE,3,1,0,0,22.54545455,0.5018181820000001,0.727272727,1.181818182,0.330909091,5,3,20,0,0,0,1,3,4,0,8,Orthodox,185.42,182.88,185,0,1,0,30.53846154,0.46615384600000004,0.7692307690000001,2.769230769,0.6384615379999999,9,3,32,5,0,0,3,4,3,0,10,Orthodox,187.96,198.12,185,34,38,-1,-1,-4,-2,0,-12,-5,-1,1,-2.54,-15.24,-4,-7.99300699,-0.041958042,-1.587412587,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Punches,3.0,2:46,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099
1100,David Branch,Jared Cannonier,-325,265,30.76923077,265.0,11/3/2018,"New York City, New York, USA", USA,Blue,False,Middleweight,MALE,3,2,0,0,33.28571429,0.498571429,0.0,0.14285714300000002,0.14285714300000002,2,4,15,0,0,0,1,2,0,0,3,Switch,180.34,195.58,185,0,1,0,18.0,0.41714285700000003,0.0,1.571428571,0.354285714,2,3,17,0,0,1,2,1,0,0,4,Orthodox,185.42,198.12,185,37,34,-2,-1,0,-1,-1,-2,0,1,0,-5.08,-2.54,3,15.28571429,0.0,-1.4285714280000001,0,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Punches,2.0,0:39,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
1101,Karl Roberson,Jack Marshman,-325,265,30.76923077,265.0,11/3/2018,"New York City, New York, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,31.0,0.2475,0.0,0.0,0.0,1,2,8,0,0,0,1,1,0,0,2,Orthodox,182.88,185.42,185,1,0,0,10.5,0.695,1.0,0.5,0.5,1,1,2,0,0,0,0,0,1,0,1,Southpaw,185.42,187.96,205,28,28,0,0,0,1,-1,6,0,1,-1,-2.54,-2.54,0,20.5,-1.0,-0.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101
1102,Derek Brunson,Israel Adesanya,245,-290,245.0,34.48275862,11/3/2018,"New York City, New York, USA", USA,Blue,False,Middleweight,MALE,3,0,3,0,76.0,0.566666667,0.333333333,0.0,0.0,3,0,10,0,0,1,1,1,0,0,3,Switch,193.04,203.2,185,1,0,0,19.69230769,0.45615384600000003,0.23076923100000002,1.0,0.11,5,4,21,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185,34,29,1,3,-2,-6,4,-11,0,-5,-1,7.62,7.62,5,56.30769231,0.10256410199999999,-1.0,0,1,9,6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Punches,1.0,4:51,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102
1103,Jason Knight,Jordan Rinaldi,-300,250,33.33333333,250.0,11/3/2018,"New York City, New York, USA", USA,Blue,False,Featherweight,MALE,3,1,0,0,10.33333333,0.41333333299999997,0.666666667,0.666666667,0.093333333,1,2,5,0,0,0,0,0,1,0,1,Orthodox,177.8,182.88,145,3,0,0,40.75,0.36125,1.625,1.25,0.30125,4,4,21,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,145,26,31,2,0,-3,-3,2,-16,0,-1,0,0.0,2.54,-5,-30.41666667,-0.958333333,-0.583333333,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103
1104,Sijara Eubanks,Roxanne Modafferi,-600,450,16.66666667,450.0,11/3/2018,"New York City, New York, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,1,0,75.0,0.306666667,0.333333333,1.0,0.40666666700000004,1,2,10,1,0,0,0,1,0,0,1,Orthodox,170.18,175.26,125,0,1,0,75.0,0.35,0.0,2.0,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,162.56,170.18,135,33,36,0,0,0,0,-2,7,1,1,0,7.62,5.08,-3,0.0,0.333333333,-1.0,0,1,7,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104
1105,Julio Arce,Sheymon Moraes,-255,215,39.21568627,215.0,11/3/2018,"New York City, New York, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,45.5,0.5,0.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,182.88,145,0,2,0,67.5,0.35,0.5,0.0,0.0,2,0,6,0,0,0,1,0,1,0,2,Southpaw,170.18,177.8,145,29,28,0,-1,-1,-1,-1,0,0,0,-1,2.54,5.08,1,-22.0,-0.5,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105
1106,Lyman Good,Ben Saunders,-630,465,15.87301587,465.0,11/3/2018,"New York City, New York, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,26.0,0.541875,0.5625,0.125,0.125,3,7,32,0,0,1,2,3,3,0,9,Orthodox,187.96,195.58,170,1,0,0,65.0,0.48,0.0,0.5,0.5,1,1,5,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,170,33,35,0,0,2,8,-6,27,0,2,3,5.08,7.62,-2,-39.0,0.5625,-0.375,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,1.0,1:32,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106
1107,Shane Burgos,Kurt Holobaugh,-400,325,25.0,325.0,11/3/2018,"New York City, New York, USA", USA,Red,False,Featherweight,MALE,3,2,0,0,71.5,0.445,1.0,1.0,0.415,0,2,6,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,1,0,0,85.25,0.455,0.0,0.5,0.5,3,1,12,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,145,27,32,-1,0,-3,-3,-1,-6,0,-1,0,0.0,-12.7,-5,-13.75,1.0,0.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,Armbar,1.0,2:11,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107
